Trial,Min Score,Max Score,Average Score,Std Dev,Reached 500
1,17.0,266.0,143.74,51.97,0.0
2,12.0,500.0,169.56,92.8,1.0
3,15.0,423.0,208.86,55.32,0.0
4,10.0,231.0,125.5,58.39,0.0
5,36.0,402.0,208.68,77.09,0.0
6,31.0,471.0,256.5,114.68,0.0
7,19.0,496.0,213.34,81.08,0.0
8,126.0,379.0,242.7,63.08,0.0
9,101.0,446.0,220.42,65.26,0.0
10,20.0,151.0,115.76,23.97,0.0
11,14.0,462.0,214.22,93.9,0.0
12,17.0,500.0,261.62,132.53,1.0
13,36.0,500.0,237.2,93.79,1.0
14,21.0,297.0,175.98,47.07,0.0
15,12.0,397.0,204.7,75.66,0.0
16,107.0,195.0,161.72,16.15,0.0
17,18.0,163.0,129.0,19.79,0.0
18,14.0,500.0,213.86,177.09,1.0
19,57.0,500.0,287.44,154.62,1.0
20,14.0,348.0,139.04,53.34,0.0
21,37.0,351.0,216.54,48.47,0.0
22,13.0,440.0,256.9,92.38,0.0
23,82.0,467.0,235.84,77.47,0.0
24,13.0,390.0,205.8,67.99,0.0
25,13.0,301.0,180.7,59.83,0.0
26,11.0,500.0,302.3,186.29,1.0
27,32.0,469.0,227.72,90.07,0.0
28,32.0,315.0,179.16,53.91,0.0
29,11.0,190.0,132.88,36.11,0.0
30,13.0,142.0,86.12,37.91,0.0
31,20.0,211.0,125.28,55.72,0.0
32,22.0,500.0,151.04,85.93,1.0
33,29.0,493.0,270.66,94.34,0.0
34,13.0,190.0,135.9,45.0,0.0
35,30.0,417.0,243.94,71.41,0.0
36,13.0,205.0,135.92,39.71,0.0
37,15.0,183.0,127.42,42.5,0.0
38,32.0,332.0,216.9,73.07,0.0
39,26.0,500.0,295.12,95.21,1.0
40,19.0,269.0,137.18,52.85,0.0
41,70.0,373.0,182.96,46.92,0.0
42,11.0,304.0,168.68,53.3,0.0
43,16.0,500.0,211.9,167.38,1.0
44,24.0,500.0,236.58,91.27,1.0
45,58.0,462.0,214.94,79.59,0.0
46,13.0,192.0,149.94,40.44,0.0
47,31.0,500.0,258.78,76.32,1.0
48,30.0,175.0,139.44,19.46,0.0
49,14.0,500.0,217.86,97.32,1.0
50,18.0,500.0,224.42,130.43,1.0
Average,29.16,369.96,195.97,75.12,0.26
