Trial,Min Score,Max Score,Average Score,Std Dev,Reached 500
1,19.0,264.0,164.18,41.23,0.0
2,15.0,500.0,178.72,140.32,1.0
3,14.0,173.0,121.5,31.88,0.0
4,110.0,292.0,169.38,34.08,0.0
5,28.0,443.0,183.1,80.95,0.0
6,30.0,500.0,237.12,124.95,1.0
7,25.0,500.0,239.96,93.66,1.0
8,55.0,273.0,162.7,38.33,0.0
9,11.0,500.0,181.64,120.65,1.0
10,14.0,172.0,114.98,37.98,0.0
11,16.0,225.0,143.5,32.28,0.0
12,12.0,500.0,315.98,179.25,1.0
13,13.0,257.0,127.94,61.76,0.0
14,12.0,300.0,153.36,55.47,0.0
15,16.0,310.0,199.86,66.2,0.0
16,12.0,500.0,238.32,171.18,1.0
17,15.0,500.0,237.0,103.02,1.0
18,12.0,199.0,125.96,45.88,0.0
19,25.0,469.0,209.46,66.3,0.0
20,14.0,260.0,168.4,50.8,0.0
21,16.0,416.0,193.06,89.73,0.0
22,13.0,322.0,243.62,59.93,0.0
23,11.0,500.0,204.66,66.03,1.0
24,13.0,432.0,180.7,79.25,0.0
25,31.0,500.0,192.2,89.31,1.0
26,12.0,247.0,152.54,59.32,0.0
27,47.0,371.0,212.56,52.82,0.0
28,18.0,326.0,179.04,58.95,0.0
29,14.0,306.0,150.54,58.99,0.0
30,15.0,285.0,202.98,62.01,0.0
31,13.0,243.0,151.3,47.03,0.0
32,12.0,500.0,154.0,123.4,1.0
33,21.0,448.0,237.82,90.34,0.0
34,27.0,288.0,167.82,48.84,0.0
35,16.0,500.0,232.92,110.9,1.0
36,27.0,180.0,133.08,29.33,0.0
37,19.0,303.0,182.34,51.61,0.0
38,56.0,362.0,197.28,59.1,0.0
39,12.0,373.0,159.06,76.79,0.0
40,16.0,378.0,193.76,70.77,0.0
41,11.0,146.0,95.66,45.65,0.0
42,15.0,500.0,165.24,97.99,1.0
43,36.0,447.0,198.86,67.46,0.0
44,24.0,395.0,167.62,63.09,0.0
45,13.0,218.0,149.08,47.5,0.0
46,13.0,313.0,128.12,65.58,0.0
47,10.0,500.0,248.84,155.6,1.0
48,11.0,404.0,156.8,90.4,0.0
49,15.0,500.0,239.12,72.15,1.0
50,26.0,377.0,194.74,62.17,0.0
Average,21.02,364.34,182.77,74.56,0.28
