Trial,Min Score,Max Score,Average Score,Std Dev,Reached 500
1,24.0,445.0,198.58,66.74,0.0
2,13.0,372.0,134.44,59.49,0.0
3,12.0,500.0,302.54,163.53,1.0
4,27.0,500.0,294.16,117.99,1.0
5,46.0,238.0,160.42,32.38,0.0
6,62.0,500.0,291.58,115.08,1.0
7,13.0,500.0,192.96,89.48,1.0
8,16.0,437.0,205.8,101.24,0.0
9,11.0,348.0,118.26,61.34,0.0
10,25.0,262.0,169.38,44.95,0.0
11,37.0,296.0,179.9,50.98,0.0
12,11.0,500.0,243.74,110.42,1.0
13,10.0,174.0,107.62,52.14,0.0
14,140.0,354.0,246.4,41.86,0.0
15,11.0,500.0,252.56,181.94,1.0
16,72.0,399.0,207.88,68.89,0.0
17,28.0,500.0,228.26,112.74,1.0
18,106.0,460.0,211.88,57.29,0.0
19,11.0,233.0,99.4,71.05,0.0
20,21.0,262.0,164.24,38.67,0.0
21,11.0,252.0,168.02,62.34,0.0
22,12.0,230.0,169.9,49.6,0.0
23,9.0,500.0,176.32,98.85,1.0
24,19.0,285.0,152.64,46.5,0.0
25,13.0,262.0,170.3,43.62,0.0
26,11.0,284.0,118.58,66.73,0.0
27,16.0,154.0,116.34,30.06,0.0
28,16.0,423.0,148.84,77.11,0.0
29,14.0,201.0,125.58,46.23,0.0
30,20.0,331.0,175.54,49.61,0.0
31,15.0,193.0,139.66,33.03,0.0
32,16.0,272.0,149.92,43.23,0.0
33,15.0,500.0,231.26,91.81,1.0
34,14.0,172.0,106.98,45.27,0.0
35,13.0,500.0,277.08,178.97,1.0
36,59.0,325.0,161.9,37.07,0.0
37,15.0,500.0,291.5,163.39,1.0
38,12.0,205.0,140.38,43.94,0.0
39,55.0,305.0,205.74,57.14,0.0
40,19.0,193.0,154.24,30.57,0.0
41,10.0,216.0,121.78,55.99,0.0
42,12.0,348.0,164.82,60.74,0.0
43,113.0,367.0,202.22,42.87,0.0
44,48.0,500.0,221.14,89.63,1.0
45,17.0,357.0,152.84,68.33,0.0
46,16.0,381.0,198.68,77.21,0.0
47,29.0,375.0,199.32,57.06,0.0
48,24.0,500.0,321.48,163.64,1.0
49,15.0,500.0,191.54,121.15,1.0
50,11.0,203.0,144.84,34.36,0.0
Average,27.3,352.28,186.19,74.08,0.28
