Trial,Min Score,Max Score,Average Score,Std Dev,Reached 1000
1,80.0,548.0,167.16,81.93,0.0
2,13.0,876.0,133.52,135.35,0.0
3,10.0,1000.0,210.96,177.18,1.0
4,14.0,140.0,100.0,35.41,0.0
5,14.0,998.0,192.3,212.3,0.0
6,13.0,224.0,117.86,53.25,0.0
7,10.0,144.0,87.58,35.48,0.0
8,19.0,281.0,117.7,53.64,0.0
9,18.0,1000.0,187.3,149.43,1.0
10,12.0,1000.0,344.66,293.25,1.0
11,11.0,244.0,140.06,60.7,0.0
12,9.0,1000.0,179.54,221.95,1.0
13,20.0,318.0,159.08,47.52,0.0
14,14.0,416.0,153.12,87.36,0.0
15,11.0,208.0,123.78,45.95,0.0
16,12.0,450.0,177.34,68.85,0.0
17,13.0,124.0,85.2,35.77,0.0
18,13.0,165.0,121.58,36.92,0.0
19,14.0,322.0,164.16,90.09,0.0
20,24.0,591.0,167.88,123.91,0.0
21,13.0,753.0,110.74,101.13,0.0
22,11.0,540.0,165.16,109.72,0.0
23,13.0,748.0,198.76,118.46,0.0
24,11.0,232.0,110.3,59.94,0.0
25,17.0,947.0,172.88,143.54,0.0
26,10.0,364.0,143.4,81.45,0.0
27,11.0,233.0,141.06,80.14,0.0
28,13.0,348.0,166.4,72.35,0.0
29,11.0,1000.0,247.96,262.36,1.0
30,11.0,204.0,100.28,46.36,0.0
31,24.0,560.0,203.04,70.91,0.0
32,13.0,185.0,110.26,45.39,0.0
33,14.0,1000.0,221.1,216.3,1.0
34,16.0,832.0,223.36,136.31,0.0
35,22.0,229.0,147.98,45.62,0.0
36,30.0,484.0,228.56,111.09,0.0
37,10.0,181.0,116.38,46.29,0.0
38,11.0,232.0,124.52,42.29,0.0
39,54.0,335.0,177.02,55.79,0.0
40,12.0,227.0,123.24,54.56,0.0
41,14.0,1000.0,386.42,354.18,1.0
42,12.0,244.0,115.48,52.54,0.0
43,9.0,333.0,177.36,71.91,0.0
44,11.0,642.0,177.46,123.25,0.0
45,24.0,275.0,130.68,60.94,0.0
46,10.0,228.0,142.68,68.56,0.0
47,33.0,216.0,144.14,33.72,0.0
48,20.0,998.0,138.52,150.58,0.0
49,15.0,700.0,310.98,131.14,0.0
50,13.0,1000.0,219.68,224.48,1.0
Average,16.64,506.38,166.13,104.35,0.16
