Trial,Min Score,Max Score,Average Score,Std Dev,Reached 1000
1,18.0,174.0,122.7,28.43,0.0
2,35.0,676.0,207.94,119.28,0.0
3,16.0,652.0,257.16,142.57,0.0
4,19.0,1000.0,271.78,256.1,1.0
5,87.0,336.0,184.84,42.66,0.0
6,29.0,637.0,224.22,79.72,0.0
7,39.0,442.0,233.24,71.65,0.0
8,11.0,366.0,159.88,68.56,0.0
9,11.0,627.0,194.1,90.67,0.0
10,17.0,368.0,173.8,74.62,0.0
11,11.0,161.0,109.92,43.99,0.0
12,22.0,217.0,153.2,55.62,0.0
13,15.0,198.0,134.26,35.25,0.0
14,49.0,300.0,170.28,41.75,0.0
15,11.0,149.0,123.72,30.93,0.0
16,16.0,381.0,229.6,111.36,0.0
17,10.0,148.0,100.8,45.74,0.0
18,20.0,331.0,183.36,77.36,0.0
19,65.0,266.0,180.6,33.07,0.0
20,15.0,346.0,202.3,56.24,0.0
21,13.0,1000.0,162.68,155.95,1.0
22,11.0,183.0,143.14,43.41,0.0
23,25.0,263.0,164.04,54.43,0.0
24,12.0,215.0,123.44,45.88,0.0
25,45.0,399.0,213.36,63.28,0.0
26,12.0,427.0,126.0,71.78,0.0
27,12.0,174.0,129.72,56.47,0.0
28,13.0,227.0,166.8,38.49,0.0
29,13.0,326.0,206.14,79.35,0.0
30,30.0,442.0,190.02,81.47,0.0
31,13.0,268.0,173.22,49.96,0.0
32,19.0,333.0,216.58,62.01,0.0
33,13.0,427.0,155.26,63.39,0.0
34,31.0,314.0,186.48,43.43,0.0
35,15.0,524.0,242.8,125.67,0.0
36,13.0,209.0,149.46,45.23,0.0
37,16.0,1000.0,171.42,202.4,1.0
38,37.0,1000.0,245.96,212.24,1.0
39,22.0,194.0,147.04,24.44,0.0
40,39.0,306.0,188.78,45.86,0.0
41,14.0,162.0,115.08,36.27,0.0
42,39.0,339.0,157.02,50.42,0.0
43,46.0,598.0,255.62,91.3,0.0
44,14.0,554.0,200.98,110.32,0.0
45,33.0,418.0,229.56,82.75,0.0
46,22.0,316.0,157.74,57.63,0.0
47,33.0,466.0,242.18,85.71,0.0
48,63.0,449.0,211.06,57.48,0.0
49,35.0,206.0,122.18,39.67,0.0
50,11.0,229.0,177.32,47.24,0.0
Average,24.6,394.86,179.78,74.59,0.08
